"Date","NorthIceAverageExtent","SouthIceAverageExtent","GlobalIceExtent","N-SDiffIceExtent","Trend for Co2 amount"
1986-11-01,11.4532666666667,15.0066,26.4598666666667,-3.55333333333333,348.04
1986-12-01,13.2224375,9.6539375,22.876375,3.5685,348.13
1987-01-01,14.9698,5.126,20.0958,9.8438,348.47
1987-02-01,16.0501428571429,3.25371428571429,19.3038571428571,12.7964285714286,348.02
1987-03-01,15.8159375,4.11275,19.9286875,11.7031875,348.3
1987-04-01,15.2108666666667,6.79693333333333,22.0078,8.41393333333333,348.77
1987-05-01,13.7429333333333,9.69406666666667,23.437,4.04886666666667,349.01
1987-06-01,12.4856666666667,12.6843333333333,25.17,-0.198666666666666,349.2
1987-07-01,10.3325625,15.7515625,26.084125,-5.419,349.39
1987-08-01,7.49990476190476,17.6614285714286,25.1613333333333,-10.1615238095238,349.5
1987-09-01,7.2787,18.2460666666667,25.5247666666667,-10.9673666666667,349.7
1987-10-01,9.04877419354839,17.6740967741935,26.7228709677419,-8.62532258064516,349.86
1987-11-01,11.2240333333333,15.5841,26.8081333333333,-4.36006666666667,350.07
1987-12-01,12.5405,13.379,25.9195,-0.8385,350.05
1988-01-01,15.0904736842105,3.81715789473684,18.9076315789474,11.2733157894737,350.38
1988-02-01,15.5833793103448,2.88568965517241,18.4690689655172,12.6976896551724,350.94
1988-03-01,15.9572258064516,3.9661935483871,19.9234193548387,11.9910322580645,350.87
1988-04-01,15.1233333333333,6.2874,21.4107333333333,8.83593333333333,351.01
1988-05-01,13.5608709677419,9.60229032258064,23.1631612903226,3.95858064516129,351.06
1988-06-01,11.9434333333333,13.0928,25.0362333333333,-1.14936666666667,351.37
1988-07-01,9.80867741935484,15.7486774193548,25.5573548387097,-5.94,352.02
1988-08-01,7.89158064516129,17.561,25.4525806451613,-9.66941935483871,351.9
1988-09-01,7.369,18.3072,25.6762,-10.9382,352.13
1988-10-01,9.13503225806452,18.3610322580645,27.496064516129,-9.226,352.41
